"","phylum","class","order","family","genus","species"
"573600","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Planktophila","Candidatus Planktophila limnetica"
"1884904","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Planktophila","Candidatus Planktophila sulfonica"
"878252","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Planktophila","uncultured Candidatus Planktophila sp."
"2039639","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Nanopelagicus",NA
"1884915","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Nanopelagicus","Candidatus Nanopelagicus hibericus"
"1884916","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Nanopelagicus","Candidatus Nanopelagicus abundans"
"1884634","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Nanopelagicus","Candidatus Nanopelagicus limnes"
"2653860","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Nanopelagicus","uncultured Candidatus Nanopelagicus sp."
"2487353","Actinobacteria","Actinobacteria",NA,NA,NA,"Actinobacteria bacterium YIM 96077"
"1665148","Actinobacteria","Actinobacteria",NA,NA,NA,"uncultured actinobacterium Rifle_16ft_4_minimus_38826"
"1665146","Actinobacteria","Actinobacteria",NA,NA,NA,"uncultured actinobacterium Rifle_16ft_4_minimus_2010"
"1665150","Actinobacteria","Actinobacteria",NA,NA,NA,"uncultured actinobacterium Rifle_16ft_4_minimus_9892"
"159799","Actinobacteria","Actinobacteria",NA,NA,NA,"uncultured actinobacterium MB11A03"
"1650658","Actinobacteria","Actinobacteria",NA,NA,NA,"Actinobacteria bacterium IMCC26256"
"1577427","Actinobacteria","Actinobacteria",NA,NA,NA,"Actinobacteria bacterium feline oral taxon 117"
"1883427","Actinobacteria","Actinobacteria",NA,NA,NA,"Actinobacteria bacterium"
"1347155","Actinobacteria","Actinobacteria",NA,NA,NA,"Actinobacteria bacterium canine oral taxon 406"
"414996","Actinobacteria","Actinobacteria","Actinopolysporales","Actinopolysporaceae","Actinopolyspora","Actinopolyspora erythraea"
"283811","Actinobacteria","Actinobacteria","Glycomycetales","Glycomycetaceae","Stackebrandtia","Stackebrandtia nassauensis"
"1463821","Actinobacteria","Actinobacteria","Glycomycetales","Glycomycetaceae","Glycomyces","Glycomyces sp. NRRL B-16210"
"1891644","Actinobacteria","Actinobacteria","Sporichthyales","Sporichthyaceae","Epidermidibacterium","Epidermidibacterium keratini"
"293301","Actinobacteria","Actinobacteria","Sporichthyales","Sporichthyaceae",NA,"uncultured Sporichthyaceae bacterium"
"2006","Actinobacteria","Actinobacteria",NA,NA,"Thermobispora","Thermobispora bispora"
"196616","Actinobacteria","Actinobacteria",NA,NA,"Boyliae","Boyliae praeputiale"
"28049","Actinobacteria","Actinobacteria","Acidothermales","Acidothermaceae","Acidothermus","Acidothermus cellulolyticus"
"152507","Actinobacteria","Actinobacteria",NA,NA,NA,"uncultured actinobacterium"
"711000","Actinobacteria","Actinobacteria",NA,NA,NA,"uncultured actinobacterium HF0070_17F14"
"1389454","Actinobacteria","Actinobacteria","Candidatus Actinomarinales","Candidatus Actinomarinaceae","Candidatus Actinomarina","Candidatus Actinomarina minuta"
"644652","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter",NA
"1841863","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter massiliensis"
"1335613","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter urolithinfaciens"
"471189","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter pamelaeae"
"886349","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","uncultured Gordonibacter sp."
"84112","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella lenta"
"502558","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella sp. YY7918"
"447020","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia",NA
"446660","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens"
"2707299","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia sp. 8CFCBH1"
"84110","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia","Slackia heliotrinireducens"
"1870985","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Arabia","Arabia massiliensis"
"2734634","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae",NA,"Eggerthellaceae bacterium zg-1050"
"84163","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Cryptobacterium","Cryptobacterium curtum"
"79604","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Denitrobacterium","Denitrobacterium detoxificans"
"1944646","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Phoenicibacter","Phoenicibacter congonensis"
"133925","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella",NA
"2109685","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella sp. GAM18"
"133926","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella uli"
"1805478","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella timonensis"
"604330","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella umbonata"
"2003188","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Parolsenella","Parolsenella catena"
"1382","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Lancefieldella parvula"
"1871022","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Parolsenella","Parolsenella massiliensis"
"74426","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens"
"1531429","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",NA,"Coriobacteriaceae bacterium 68-1-3"
"33871","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Coriobacterium","Coriobacterium glomerans"
"42255","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter",NA
"2653851","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter","Rubrobacter sp. SCSIO 52909"
"49319","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter","Rubrobacter xylanophilus"
"2051957","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter","Rubrobacter indicoceani"
"42256","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter","Rubrobacter radiotolerans"
"349277","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae",NA,"uncultured Rubrobacteraceae bacterium"
"496014","Actinobacteria","Rubrobacteria","Rubrobacterales","Baekduiaceae","Baekduia","Baekduia soli"
"453417","Actinobacteria","Rubrobacteria","Rubrobacterales",NA,NA,"uncultured Rubrobacterales bacterium"
"211429","Actinobacteria","Rubrobacteria",NA,NA,NA,"uncultured Rubrobacteria bacterium"
"1608957","Actinobacteria","Nitriliruptoria","Euzebyales","Euzebyaceae","Euzebya","Euzebya sp. DY32-46"
"1670830","Actinobacteria","Nitriliruptoria","Egicoccales","Egicoccaceae","Egicoccus","Egicoccus halophilus"
"2664374","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Actinomarinicola","Actinomarinicola tropica"
"467094","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter","Ilumatobacter coccineus"
"53635","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidimicrobium","Acidimicrobium ferrooxidans"
"310071","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA,"uncultured Acidimicrobiales bacterium"
"191495","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter","Conexibacter woesei"
"259313","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter","uncultured Conexibacter sp."
"1097667","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae","Patulibacter","Patulibacter medicamentivorans"
"1848755","Actinobacteria",NA,NA,NA,NA,"Actinobacteria bacterium IMCC26077"
"1848756","Actinobacteria",NA,NA,NA,NA,"Actinobacteria bacterium IMCC26103"
"1848754","Actinobacteria",NA,NA,NA,NA,"Actinobacteria bacterium IMCC19121"
"1848255","Actinobacteria",NA,NA,NA,NA,"Actinobacteria bacterium IMCC25003"
"1307","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus suis"
"1336","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus equi"
"1334","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus dysgalactiae"
"712633","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. oral taxon 431"
"1940319","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. DAT741"
"2598453","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. 116-D4"
"2610896","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. LPB0220"
"2598457","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. KS 6"
"1156433","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. I-P16"
"1759399","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. A12"
"1156431","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. I-G2"
"2583584","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. NCTC 11567"
"1902136","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. NPS 308"
"1419814","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. VT 162"
"2763068","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. NSJ-72"
"2684658","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. CNU 77-61"
"2576376","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. 1643"
"2698804","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. CNU G3"
"2686210","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. CNU G2"
"712624","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. oral taxon 064"
"1839799","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. FDAARGOS_192"
"1155488","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. LVRI_193"
"2614158","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus caledonicus"
"2420308","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. FDAARGOS_520"
"1306","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp."
"2420310","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. FDAARGOS_522"
"1178404","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. M-S-TSA_29"
"640031","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. CSL 7508"
"712625","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. oral taxon 065"
"1472048","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. 350"
"400065","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus merionis"
"1825069","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus marmotae"
"1329","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus canis"
"1328","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus anginosus"
"1338","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus intermedius"
"76860","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus constellatus"
"2021971","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus respiraculi"
"1308","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus thermophilus"
"1313","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae"
"82348","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pluranimalium"
"45634","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus cristatus"
"1309","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans"
"1326","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus acidominimus"
"1310","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sobrinus"
"1304","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius"
"1814128","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus halotolerans"
"1314","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pyogenes"
"1303","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus oralis"
"1888195","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus himalayensis"
"361101","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pseudoporcinus"
"1346","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus iniae"
"1340","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus porcinus"
"1311","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae"
"1811193","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pantholopis"
"1335","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus equinus"
"1349","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus uberis"
"149016","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus urinalis"
"33040","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus milleri"
"113107","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus australis"
"1348","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus parauberis"
"1111760","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus troglodytae"
"59310","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus macedonicus"
"1917441","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus ruminantium"
"257758","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pseudopneumoniae"
"1343","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus vestibularis"
"82806","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus ovis"
"1333","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus criceti"
"1433513","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gwangjuense"
"102684","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantarius"
"2382163","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus koreensis"
"150055","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus lutetiensis"
"2490633","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus periodonticum"
"197614","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pasteurianus"
"1469425","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus tangierensis"
"229549","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus minor"
"83427","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","uncultured Streptococcus sp."
"325788","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. oral clone ASCB06"
"325802","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. oral clone ASCG04"
"29389","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus alactolyticus"
"1337","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus hyointestinalis"
"165758","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gallinaceus"
"254786","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus castoreus"
"573564","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus dentapri"
"1339","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus macacae"
"1080071","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus orisasini"
"502567","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus porci"
"747656","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus danieliae"
"1317","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus downei"
"176090","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sinensis"
"380397","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus ictaluri"
"684066","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus lactarius"
"68891","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus peroris"
"701526","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus porcorum"
"910939","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus hongkongensis"
"1080072","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus dentasini"
"68892","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantis"
"254785","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus halichoeri"
"1341","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus ratti"
"1640501","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus caprae"
"1357","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
"2592653","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus sp. KACC 19320"
"2419773","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus allomyrinae"
"2749962","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus paracarnosus"
"2749961","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus carnosus"
"1665536","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus sp. LMG 28767"
"1495163","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus sp. 9-9"
"1366","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus raffinolactis"
"1363","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus garvieae"
"1364","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus piscium"
"1940789","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus petauri"
"167973","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","uncultured Lactococcus sp."
"208546","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,"uncultured Streptococcaceae bacterium"
"1578","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"2099789","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus sp. CBA3606"
"2099788","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus sp. CBA3605"
"2695882","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus sp. 3B(2020)"
"1545702","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus sp. wkB8"
"2419772","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus bombintestini"
"2675299","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bombilactobacillus","Bombilactobacillus sp. DCY120"
"147802","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus iners"
"33959","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus johnsonii"
"1584","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus delbrueckii"
"109790","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus jensenii"
"51664","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lapidilactobacillus","Lapidilactobacillus dextrinicus"
"1604","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus amylovorus"
"303541","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus apis"
"47770","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus crispatus"
"1596","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri"
"1218493","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus kullabergensis"
"2269374","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus terrae"
"57037","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lacticaseibacillus zeae"
"267818","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus kefiranofaciens"
"1600","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acetotolerans"
"1587","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus helveticus"
"1579","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus"
"83683","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus amylolyticus"
"1218494","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus helsingborgensis"
"2107999","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus paragasseri"
"153152","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncultured Lactobacillus sp."
"52242","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gallinarum"
"2485998","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lapidilactobacillus","Lapidilactobacillus bayanensis"
"2742598","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",NA
"1598","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus reuteri"
"104955","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus frumenti"
"227942","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus gastricus"
"1613","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus fermentum"
"35787","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus pontis"
"97478","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus mucosae"
"1632","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus oris"
"1633","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus vaginalis"
"47493","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus panis"
"2767887","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA
"1624","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus salivarius"
"228229","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus saerimneri"
"1623","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus ruminis"
"89059","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus acidipiscis"
"1601","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus agilis"
"1605","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus animalis"
"1622","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus murinus"
"2767893","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus",NA
"1581","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus","Lentilactobacillus buchneri"
"1138822","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus","Lentilactobacillus curieae"
"152331","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus","Lentilactobacillus parabuchneri"
"33962","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus","Lentilactobacillus kefiri"
"481722","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus","Lentilactobacillus kisonensis"
"47715","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lacticaseibacillus rhamnosus"
